month,web_sessions,emails_sent,email_revenue,meta_spend,meta_revenue,meta_roas,social_engagements,orders,units_sold,total_revenue,avg_order_value
2025-04,6617,5374,0,1991,10780,5.41,458,49,51,19173.0,391.29
2025-05,8121,5529,770,2320,12320,5.31,521,57,63,23542.75,413.03
2025-06,9372,8477,1540,3209,19250,6.0,653,67,72,27027.0,403.39
2025-07,11851,8903,1925,3563,26180,7.35,806,83,88,33610.5,404.95
2025-08,10334,9378,2310,3589,21560,6.01,836,72,80,30607.5,425.1
2025-09,9892,6448,1540,3066,19250,6.28,820,67,75,28259.0,421.78
2025-10,8349,6637,770,2564,13090,5.11,691,61,67,25025.0,410.25
2025-11,5996,6948,385,1767,10395,5.88,509,44,46,17325.0,393.75
2025-12,4576,7102,385,1478,5775,3.91,308,31,32,12069.75,389.35
2026-01,4451,7303,0,1464,5775,3.94,304,31,31,11627.0,375.06
2026-02,5223,7392,0,1594,6545,4.11,337,34,35,13186.25,387.83
2026-03,7022,7426,770,2413,13090,5.42,701,47,50,19076.75,405.89
